 minimum eigenvalues =  4.8799005132500053 6.920119712707324 7.6562147928867912
 maximum eigenvalues =  9711.1430838537053 3039.6850435125016 1244.4129447052037
 num eigs kept =  32
 iter     1 lrate =  0.0500000000 LL =  -3.5139438808 nd =  0.0574100396, D =   0.42462E-02  0.42462E-02  (  0.32 s,   0.2 h)
 iter     2 lrate =  0.0500000000 LL =  -3.4688673561 nd =  0.0259132562, D =   0.37021E-02  0.37021E-02  (  0.32 s,   0.2 h)
 iter     3 lrate =  0.0500000000 LL =  -3.4616722166 nd =  0.0248724335, D =   0.35241E-02  0.35241E-02  (  0.32 s,   0.2 h)
 iter     4 lrate =  0.0500000000 LL =  -3.4589762799 nd =  0.0271874809, D =   0.53216E-02  0.53216E-02  (  0.32 s,   0.2 h)
 iter     5 lrate =  0.0500000000 LL =  -3.4570157527 nd =  0.0277208492, D =   0.97289E-02  0.97289E-02  (  0.31 s,   0.2 h)
 iter     6 lrate =  0.0500000000 LL =  -3.4553624865 nd =  0.0272330676, D =   0.16568E-01  0.16568E-01  (  0.31 s,   0.2 h)
 iter     7 lrate =  0.0500000000 LL =  -3.4538787795 nd =  0.0263888677, D =   0.25320E-01  0.25320E-01  (  0.31 s,   0.2 h)
 iter     8 lrate =  0.0500000000 LL =  -3.4525421009 nd =  0.0252972979, D =   0.35453E-01  0.35453E-01  (  0.31 s,   0.2 h)
 iter     9 lrate =  0.0500000000 LL =  -3.4513465037 nd =  0.0240098330, D =   0.46416E-01  0.46416E-01  (  0.31 s,   0.2 h)
 iter    10 lrate =  0.0500000000 LL =  -3.4502931124 nd =  0.0225221363, D =   0.57678E-01  0.57678E-01  (  0.32 s,   0.2 h)
 iter    11 lrate =  0.0500000000 LL =  -3.4493818664 nd =  0.0208675161, D =   0.68716E-01  0.68716E-01  (  0.47 s,   0.3 h)
 iter    12 lrate =  0.0500000000 LL =  -3.4486107590 nd =  0.0191199269, D =   0.79063E-01  0.79063E-01  (  0.31 s,   0.2 h)
 iter    13 lrate =  0.0500000000 LL =  -3.4479717683 nd =  0.0173432066, D =   0.88342E-01  0.88342E-01  (  0.31 s,   0.2 h)
 iter    14 lrate =  0.0500000000 LL =  -3.4474486734 nd =  0.0156966780, D =   0.96261E-01  0.96261E-01  (  0.32 s,   0.2 h)
 iter    15 lrate =  0.0500000000 LL =  -3.4470158336 nd =  0.0143341032, D =   0.10269E+00  0.10269E+00  (  0.31 s,   0.2 h)
 iter    16 lrate =  0.0500000000 LL =  -3.4466541809 nd =  0.0132046062, D =   0.10773E+00  0.10773E+00  (  0.32 s,   0.2 h)
 iter    17 lrate =  0.0500000000 LL =  -3.4463455820 nd =  0.0123137455, D =   0.11148E+00  0.11148E+00  (  0.32 s,   0.2 h)
 iter    18 lrate =  0.0500000000 LL =  -3.4460758930 nd =  0.0116340222, D =   0.11407E+00  0.11407E+00  (  0.32 s,   0.2 h)
 iter    19 lrate =  0.0500000000 LL =  -3.4458357273 nd =  0.0111216201, D =   0.11568E+00  0.11568E+00  (  0.32 s,   0.2 h)
 iter    20 lrate =  0.0500000000 LL =  -3.4456147764 nd =  0.0107423829, D =   0.11648E+00  0.11648E+00  (  0.31 s,   0.2 h)
 iter    21 lrate =  0.0500000000 LL =  -3.4454088847 nd =  0.0104574744, D =   0.11663E+00  0.11663E+00  (  0.85 s,   0.5 h)
 iter    22 lrate =  0.0500000000 LL =  -3.4452142051 nd =  0.0102360911, D =   0.11627E+00  0.11627E+00  (  0.31 s,   0.2 h)
 iter    23 lrate =  0.0500000000 LL =  -3.4450305765 nd =  0.0100572483, D =   0.11552E+00  0.11552E+00  (  0.31 s,   0.2 h)
